comment,sentiment
"Пфф, пока еду нельзя будет скачать из интернета, вы не сможете меня ничем удивить",{'neutral': 0.3557848632335663}
"""Графон, как в жизни"" подъезжает?",{'neutral': 0.91965252161026}
"Видях все равно нет, можете не спешить 😄",{'neutral': 0.7310686111450195}
"Рендер не равно реальный эффект, что с нейросетями что с новомодными алгоритмами, на выходе как правило результат на порядки хуже. 
Особенно учитывая то какой дурной маркетинг ведет Интел последние годы.",{'neutral': 0.4921981394290924}
"ну окей
а как будут отображаться ""реальные"" разнообразные повреждения окружения во время игры в гта?)",{'neutral': 0.9416641592979431}
"При средней тенденции увеличения показателей производительности топовой видеокарты nvidia каждые два года на 42% (если брать с gtx 690 до 3090), можно уже сейчас спрогнозировать, что топовая видеокарта 2032 года будет рендерить показанную на примере картинку с частотой кадров около 60 fps, а к 2040 году ввиду никого гиперреалистичной графикой удивить будет нельзя.",{'neutral': 0.8962613940238953}
Реальность не так красочна((,{'negative': 0.1968362182378769}
"Видяx вce paвнo нeт, мoжeтe нe cпeшить 😄",{'positive': 0.5000100135803223}
"Хм, ну можно не весь кадр, а скажем людей или только машины рендерить реально и будет тогда круто… хотя бы на данном этапе",{'neutral': 0.3702353835105896}
додумались,{'neutral': 0.9886782765388489}
"Полсекунды на один кадр на ртх3090? С таким же успехом можно  играть в ""компьютерные игры"" наняв профессионального художника, который будет тебе на холсте маслом каждый кадр отрисовывать.",{'neutral': 0.8933194279670715}
Магия синего фильтра,{'neutral': 0.9802908897399902}
Катсценки запилить,{'neutral': 0.754925012588501}
Смотреть в шакальном 720р такие сравнения бессмысленно.,{'neutral': 0.9399233460426331}
Гта 5 в гта 4?очень реалестично,{'neutral': 0.960371196269989}
"Хммм, если доведут до ума эту технологию, а Nvidia еще и разработает ядра чисто под нее, как было с RTX, а потом совместить Microsoft Flight Simulator с ней, то это будет игра с реальным миром, еще и с фотореалистичной графикой",{'neutral': 0.6992644667625427}
Оригинал получше выглядит,{'neutral': 0.9732507467269897}
"Неее, я в игры ухожу, потому что там всё ярко и красочно, а так игра серая и скучная, не отличающаяся от реальности, и это выглядит не очень (",{'negative': 0.3557848632335663}
"Даже 3090 сейчас не купишь для этого, из-за санных майнеров",{'neutral': 0.8267217874526978}
Зашакалили и убили баланс белого. Найс.,{'neutral': 0.6150978803634644}
"Типичные программисты, кто посоветует софт как сделать апскейл видео до более высокого разрешения с более высокой частотой кадров. И именно реальный апскейл с реальным улучшением картинки с реальным увеличением fps, а не тупо увеличение циферок от которых просто раздует видеофайл, а качество останется прежним.",{'neutral': 0.8840492963790894}
